fila,codigo_a,item_b,codigo_a_norm,item_b_norm,clave_match,tipo_fila,tipo_ENE,tipo_FEB,formula_ENE,formula_FEB,codigo_a_repetido,codigo_a_repeticiones
94,51956002,Donaciones,51956002,DONACIONES,94|51956002|DONACIONES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$146,='[10]Hoja 1'!$C$148,NO,1
95,53954001,Ajuste al peso,53954001,AJUSTE AL PESO,95|53954001|AJUSTE AL PESO,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$182,='[10]Hoja 1'!$C$186,NO,1
96,,TOTAL ADMINISTRATIVOS,,TOTAL ADMINISTRATIVOS,96||TOTAL ADMINISTRATIVOS,detalle_sin_codigo_o_titulo,formula,formula,=C5+C13+C19+C22+C28+C32+C46+C52+C59+C62+C66+C89+C90,=D5+D13+D19+D22+D28+D32+D46+D52+D59+D62+D66+D89+D90,,
98,,FINANCIEROS,,FINANCIEROS,98||FINANCIEROS,subtotal_o_total,formula,formula,=SUM(C99:C107),=SUM(D99:D107),,
99,530505,Gastos Bancarios,530505,GASTOS BANCARIOS,99|530505|GASTOS BANCARIOS,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$164,='[10]Hoja 1'!$C$167,NO,1
100,530515,Comisiones,530515,COMISIONES,100|530515|COMISIONES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$167,='[10]Hoja 1'!$C$170,NO,1
101,53052001,Intereses Corrientes Obligaciones,53052001,INTERESES CORRIENTES OBLIGACIONES,101|53052001|INTERESES CORRIENTES OBLIGACIONES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$172,='[10]Hoja 1'!$C$175,NO,1
102,53052002,Intereses Moratorios,53052002,INTERESES MORATORIOS,102|53052002|INTERESES MORATORIOS,detalle_con_codigo,formula,blank,='[9]Hoja 1'!$C$173,,NO,1
103,,Intereses Sobregiro,,INTERESES SOBREGIRO,103||INTERESES SOBREGIRO,detalle_sin_codigo_o_titulo,blank,blank,,,,
104,53052004,Intereses corrientes Leasing,53052004,INTERESES CORRIENTES LEASING,104|53052004|INTERESES CORRIENTES LEASING,detalle_con_codigo,blank,formula,,='[10]Hoja 1'!$C$176,NO,1
105,53059502,Seguro Credito Leasing,53059502,SEGURO CREDITO LEASING,105|53059502|SEGURO CREDITO LEASING,detalle_con_codigo,blank,blank,,,NO,1
106,51159502,Gravámen a Movimientos Financieros,51159502,GRAVAMEN A MOVIMIENTOS FINANCIEROS,106|51159502|GRAVAMEN A MOVIMIENTOS FINANCIEROS,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$82+'[9]Hoja 1'!$C$175,='[10]Hoja 1'!$C$81+'[10]Hoja 1'!$C$180,NO,1
107,530595,Otros,530595,OTROS,107|530595|OTROS,detalle_con_codigo,formula,blank,='[9]Hoja 1'!$C$177,,NO,1
108,,INTERESES SOCIOS,,INTERESES SOCIOS,108||INTERESES SOCIOS,detalle_sin_codigo_o_titulo,formula,formula,=96313193+10045491,=99151187+9611660,,
109,,TOTAL FINANCIEROS,,TOTAL FINANCIEROS,109||TOTAL FINANCIEROS,detalle_sin_codigo_o_titulo,formula,formula,=C98+C108,=D98+D108,,
111,,GASTOS DE PERSONAL DIRECTIVO,,GASTOS DE PERSONAL DIRECTIVO,111||GASTOS DE PERSONAL DIRECTIVO,detalle_sin_codigo_o_titulo,blank,blank,,,,
112,,GASTOS NO OPERACIONALES,,GASTOS NO OPERACIONALES,112||GASTOS NO OPERACIONALES,detalle_sin_codigo_o_titulo,blank,blank,,,,
113,,COSTO DE FACTURAS,,COSTO DE FACTURAS,113||COSTO DE FACTURAS,detalle_sin_codigo_o_titulo,value,blank,,,,
114,,RECREARTE,,RECREARTE,114||RECREARTE,detalle_sin_codigo_o_titulo,formula,formula,=[21]RECREARTE!$C$141,=[21]RECREARTE!$F$141,,
115,,PROVISION 2025 - INDEMNIZACION DE PERSONAL,,PROVISION 2025 - INDEMNIZACION DE PERSONAL,115||PROVISION 2025 - INDEMNIZACION DE PERSONAL,detalle_sin_codigo_o_titulo,blank,blank,,,,
116,,(-) DESCUENTOS COMERCIALES,,(-) DESCUENTOS COMERCIALES,116||(-) DESCUENTOS COMERCIALES,detalle_sin_codigo_o_titulo,blank,formula,,='[10]Hoja 1'!$E$23,,
117,,(-) INGRESOS NO OPERACIONALES,,(-) INGRESOS NO OPERACIONALES,117||(-) INGRESOS NO OPERACIONALES,detalle_sin_codigo_o_titulo,blank,formula,,='[10]Hoja 1'!$E$28,,
118,,(-) INGRESOS INCAPACIDADES,,(-) INGRESOS INCAPACIDADES,118||(-) INGRESOS INCAPACIDADES,detalle_sin_codigo_o_titulo,blank,blank,,,,
119,,TOTAL GASTOS NO OPERACIONALES,,TOTAL GASTOS NO OPERACIONALES,119||TOTAL GASTOS NO OPERACIONALES,subtotal_o_total,formula,formula,=SUM(C113:C115)-SUM(C116:C118),=SUM(D113:D115)-SUM(D116:D118),,
